client_code,product,push
51,Премиальная карта,"Жанат, заметили, как часто вы снимаете наличные. С Премиальной картой это бесплатно по всему миру до 3 000 000 ₸/мес, а еще повышенный кешбэк!💰"
49,Премиальная карта,"Амина, как зарплатному клиенту из Алматы, вам понравится Премиальная карта: кешбэк до 4% на ювелирные изделия и бесплатные переводы по РК!💸"
32,Депозит мультивалютный (KZT/USD/RUB/EUR),"Алия, в Астане выгодно хранить валюту! 💰 Откройте «Депозит мультивалютный» под 14,50% и свободно пополняйте/снимайте средства. Узнать больше."
42,Депозит мультивалютный (KZT/USD/RUB/EUR),"Рустем, для вас как премиального клиента есть отличная возможность! Депозит мультивалютный позволит хранить валюты и ребалансировать их под 14,50% 💰."
38,Депозит мультивалютный (KZT/USD/RUB/EUR),"Серик, заметили, что вы часто меняете валюту. С нашим «Депозитом мультивалютным» удобно хранить и ребалансировать валюты под 14,50%!💰 Подробнее."
35,Депозит мультивалютный (KZT/USD/RUB/EUR),"Самат, вам может быть интересен Депозит мультивалютный: храните валюты под 14,50% и ребалансируйте в любое время 💰."
6,Карта для путешествий,"Аян, заметили ваши поездки по Шымкенту! Карта для путешествий вернёт 4% кешбэка на такси и 4% на авиабилеты ✈️. Оформить?"
5,Карта для путешествий,"Камилла, заметили, как вы активно бронируете отели!🏨 С «Картой для путешествий» вы получите 4% кешбэка на поездки и скидки Visa Signature. Оформить карту!"
2,Карта для путешествий,"Данияр, заметили ваши поездки по Астане! С «Картой для путешествий» вы получите 4% кешбэка на такси и привилегии Visa Signature ✈️. Оформить?"
27,Карта для путешествий,"Нурсултан, заметили, как часто вы бронируете отели!🏨 С «Картой для путешествий» вы получите 4% кешбэка на поездки и скидки Visa Signature. Оформить карту!"
47,Карта для путешествий,"Камшат, заметили ваши поездки! Карта для путешествий вернёт 4% кешбэка на такси и авиабилеты, а также предложит скидки Visa ✈️"
31,Карта для путешествий,"Дамир, заметили ваши поездки по Алматы 🚕. С «Картой для путешествий» вы получите 4% кешбэка на такси и другие поездки! Оформить карту 💳"
1,Карта для путешествий,"Айгерим, заметили, как часто вы бронируете отели!🏨 С «Картой для путешествий» вы получите 4% кешбэка на такси, поезда и авиабилеты. Оформить →"
30,Карта для путешествий,"Ербол, заметили ваши поездки в августе! Карта для путешествий — это 4% кешбэка на такси, поезда и самолеты + скидки на авиабилеты и отели ✈️. Оформить?"
4,Карта для путешествий,"Тимур, заметили ваши поездки по Караганде! С «Картой для путешествий» вы получите 4% кешбэк на такси и скидки на авиабилеты ✈️. Оформить?"
26,Карта для путешествий,"Маржан, заметили ваши поездки этим летом!✈️ С «Картой для путешествий» вы получите 4% кешбэк на такси, поезда и самолеты. Узнать больше."
28,Карта для путешествий,"Алтынай, заметили, как вы любите путешествовать!✈️ С «Картой для путешествий» получайте 4% кешбэка на такси, поезда и самолеты. Оформить карту →"
29,Карта для путешествий,"Сая, заметили ваши поездки в августе! Карта для путешествий вернёт 4% кешбэка на такси и авиабилеты, а еще предложит скидки на отели ✈️. Оформить?"
23,Депозит сберегательный (защита KDIF),"Темирлан, хотите, чтобы деньги работали на вас? 💰 Откройте «Депозит сберегательный» под 16,50% и забудьте о снятиях до конца срока!"
55,Депозит накопительный,"Асель, хотите откладывать деньги под проценты? С «Депозитом накопительным» вы сможете пополнять счёт и получать 15,50% годовых! 💰"
59,Депозит накопительный,"Динара, вы в Алматы, и это отличный момент начать копить! Депозит накопительный под 15,50% с пополнением поможет вам планомерно откладывать. 💰 Узнать больше?"
57,Депозит накопительный,"Жания, заметили, как вы копите в августе! Открывайте «Депозит накопительный» под 15,50% и пополняйте, чтобы накопить еще больше 💰."
45,Кредит наличными,"Диана, заметили ваши траты в августе! Нужен быстрый кредит без справок и цели? Оформите Кредит наличными онлайн или в отделении по удостоверению личности 👍."
34,,"Инкар, заметили ваши переводы летом. Депозит Сберегательный поможет вам накопить деньги с хорошей ставкой. Попробуйте сейчас!"
